Frequency (Hz),Amplitude
1.0,1.0
0.9995222169135213,0.8144737347390801
1.0009555661729574,0.7692871062823713
1.0004777830864788,0.7112259238312856
1.0014333492594363,0.590195841129969
0.9990444338270426,0.5787883206338912
0.9890444338270426,0.4787883206338912
0.1000444338270426,0.6787883206338912
0.9790444338270426,0.3787883206338912
0.9690444338270426,0.2787883206338912
0.999,0.5
1.0005,0.5
0.99945,0.45
1.00055,0.45
0.9994,0.4
1.0006,0.4
0.99935,0.35
1.00065,0.35
0.9993,0.3
1.0007,0.3
0.99925,0.25
1.00075,0.25
0.9992,0.2
1.0008,0.2
0.5,0.02
0.25,0.01
0.123,0.005
6,0.025
8,0.02
9,0.015
12,0.01
14,0.005
